cat_smiles,an_smiles,T,P,value,unit,ref,il,mw,logp,tpsa,hbd,hba,rotb,ar_rings,heavy,fcsp3,rings
CC[n+]1ccn(C)c1,[Br-],,,352.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CC[n+]1ccn(C)c1|[Br-],191.072,-2.663499999999998,8.809999999999999,0,0,1,1,9,0.5,1
CCCn1cc[n+](C)c1C,F[P-](F)(F)(F)(F)F,,,351.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CCCn1cc[n+](C)c1C|F[P-](F)(F)(F)(F)F,284.1839999999999,4.413420000000003,8.809999999999999,0,0,2,1,17,0.625,1
CC[N+](CC)(CC)CC,F[P-](F)(F)(F)(F)F,,,343.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CC[N+](CC)(CC)CC|F[P-](F)(F)(F)(F)F,275.2169999999999,5.265200000000004,0.0,0,0,4,0,16,1.0,0
CC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,,,335.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CC[n+]1ccn(C)c1|F[P-](F)(F)(F)(F)F,256.12999999999994,3.714900000000002,8.809999999999999,0,0,1,1,15,0.5,1
CCC[N+]1(C)CCCCC1,F[P-](F)(F)(F)(F)F,,,368.2,K,"Neves, C. M. S. S.; Rodrigues, A. R.; Kurnia, K. A.; Esperanca, J. M. S. S.; Freire, M. G.; Coutinho, J. A. P. (2013) Fluid Phase Equilib. 358, 50-55.",CCC[N+]1(C)CCCCC1|F[P-](F)(F)(F)(F)F,287.2279999999999,5.409300000000004,0.0,0,0,2,0,17,1.0,1
CCCc1ccc[n+](C)c1,F[P-](F)(F)(F)(F)F,,,311.2,K,"Neves, C. M. S. S.; Batista, M. L. S.; Claudio, A. F. M.; Santos, L. M. N. B. F.; Marrucho, I. M.; Freire, M. G.; Coutinho, J. A. P. (2010) J. Chem. Eng. Data 55(11), 5065-5073.",CCCc1ccc[n+](C)c1|F[P-](F)(F)(F)(F)F,281.17999999999995,4.846000000000003,3.88,0,0,2,1,17,0.4444444444444444,1
CC[N+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,,,356.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CC[N+](CC)(CC)CC|O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,510.41600000000005,4.212700000000004,82.38,0,4,8,0,30,1.0,0
CCCn1cc[n+](C)c1,[Cl-],,,333.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CCCn1cc[n+](C)c1|[Cl-],160.64799999999997,-2.273399999999997,8.809999999999999,0,0,2,1,10,0.5714285714285714,1
CCCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,288.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CCCn1cc[n+](C)c1C|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,419.369,2.09032,91.19,0,4,4,1,25,0.7,1
CC(C)n1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,289.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CC(C)n1cc[n+](C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,405.342,1.9528,91.19,0,4,3,1,24,0.6666666666666666,1
CC[n+]1ccn(C)c1,F[As-](F)(F)(F)(F)F,,,326.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CC[n+]1ccn(C)c1|F[As-](F)(F)(F)(F)F,300.078,2.4729,8.809999999999999,0,0,1,1,15,0.5,1
CCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,,,332.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CCCC[N+](CCCC)(CCCC)CCCC|O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,653.6920000000002,6.240790000000008,102.42,0,6,15,0,39,0.95,0
CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,,,272.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,491.329,2.6624000000000008,91.19,0,4,5,1,29,0.7,1
CC[n+]1ccn(C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,300.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CC[n+]1ccn(C)c1C|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,405.342,1.70022,91.19,0,4,3,1,24,0.6666666666666666,1
CC[N+](CC)(CC)CC,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,,,319.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CC[N+](CC)(CC)CC|O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,541.4760000000001,3.1199900000000023,102.42,0,6,7,0,31,0.9166666666666666,0
CCC[n+]1ccn(C)c1,F[B-](F)(F)F,,,256.1,K,"Nishida, T.; Tashiro, Y.; Yamamoto, M. (2003) J. Fluorine Chem. 120, 135-141.",CCC[n+]1ccn(C)c1|F[B-](F)(F)F,211.99899999999997,2.0226,8.809999999999999,0,0,2,1,14,0.5714285714285714,1
CCCC[n+]1ccccc1,F[B-](F)(F)F,,,272.0,K,"Noda, A.; Hayamizu, K.; Watanabe, M. (2001) J. Phys. Chem. B 105, 4603-4610.",CCCC[n+]1ccccc1|F[B-](F)(F)F,223.02199999999996,3.074200000000002,3.88,0,0,3,1,15,0.4444444444444444,1
CC[n+]1ccn(C)c1,F[B-](F)(F)F,,,286.1,K,"Nishida, T.; Tashiro, Y.; Yamamoto, M. (2003) J. Fluorine Chem. 120, 135-141.",CC[n+]1ccn(C)c1|F[B-](F)(F)F,197.972,1.6324999999999998,8.809999999999999,0,0,1,1,13,0.5,1
CCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,363.1,K,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102.",CCCC[N+](CCCC)(CCCC)CCCC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,522.618,6.062900000000007,82.38,0,4,14,0,32,1.0,0
Cn1cc[n+](CC#N)c1,N#Cc1nc(C(F)(F)F)[n-]c1C#N,,,366.1,K,"Okuniewska, P.; Ramjugernath, D.; Naidoo, P.; Domanska, U. (2014) Fluid Phase Equilib. 376, 55-63.",Cn1cc[n+](CC#N)c1|N#Cc1nc(C(F)(F)F)[n-]c1C#N,307.239,0.6371399999999996,107.17,0,4,1,2,22,0.25,2
CCCCCC[n+]1cccc2ccccc21,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,318.0,K,"Okuniewska, P.; Ramjugernath, D.; Naidoo, P.; Domanska, U. (2014) Fluid Phase Equilib. 376, 55-63.",CCCCCC[n+]1cccc2ccccc21|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,494.4790000000001,4.766900000000004,86.25999999999999,0,4,7,2,31,0.4705882352941176,2
CCCC[n+]1cc(C)cc(C)c1,N#C[S-],,,286.1,K,"Papaiconomou, N.; Estager, J.; Traore, Y.; Bauduin, P.; Bas, C.; Legeai, S.; Viboud, S.; Draye, M. (2010) J. Chem. Eng. Data 55(5), 1971-1979.",CCCC[n+]1cc(C)cc(C)c1|N#C[S-],222.357,2.4054200000000003,27.67,0,2,3,1,15,0.5,1
CC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,355.9,K,"Okuniewska, P.; Ramjugernath, D.; Naidoo, P.; Domanska, U. (2014) Fluid Phase Equilib. 376, 55-63.",CC[N+]1(C)CCCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,408.386,2.6961000000000013,82.38,0,4,3,0,24,1.0,1
CCCC[n+]1ccn(C)c1,[Cl-],,,338.0,K,"Nishikawa, K.; Wang, S.; Katayanagi, H.; Hayashi, S.; Hamaguchi, H.-o.; Koga, Y.; Tozaki, K.-i. (2007) J. Phys. Chem. B 111, 4894-4900.",CCCC[n+]1ccn(C)c1|[Cl-],174.67499999999998,-1.8832999999999969,8.809999999999999,0,0,3,1,11,0.625,1
CC[n+]1ccn(C)c1,F[B-](F)(F)F,,,288.0,K,"Noda, A.; Hayamizu, K.; Watanabe, M. (2001) J. Phys. Chem. B 105, 4603-4610.",CC[n+]1ccn(C)c1|F[B-](F)(F)F,197.972,1.6324999999999998,8.809999999999999,0,0,1,1,13,0.5,1
Cn1cc[n+](CC#N)c1,N#Cc1nc(C(F)(F)F)[n-]c1C#N,,,365.8,K,"Okuniewski, M.; Ramjugernath, D.; Naidoo, P.; Domanska, U. (2014) J. Chem. Thermodyn. 77, 23-30.",Cn1cc[n+](CC#N)c1|N#Cc1nc(C(F)(F)F)[n-]c1C#N,307.239,0.6371399999999996,107.17,0,4,1,2,22,0.25,2
CCCCn1c(C)cc(C)[n+]1-c1ccccc1,CCCCn1c(C)cc(C)[n+]1-c1ccccc1.F[B-](F)(F)F,,,340.8,K,"Ozdemir, M. C.; Ozgun, B. (2014) J. Mol. Liq. 200, 129-135.",CCCCn1c(C)cc(C)[n+]1-c1ccccc1|CCCCn1c(C)cc(C)[n+]1-c1ccccc1.F[B-](F)(F)F,545.4980000000004,7.663480000000009,17.619999999999997,0,0,8,4,39,0.4,4
CCCn1c(C)cc(C)[n+]1-c1ccccc1,CCCn1c(C)cc(C)[n+]1-c1ccccc1.CS(=O)(=O)[O-],,,365.6,K,"Ozdemir, M. C.; Ozgun, B. (2014) J. Mol. Liq. 200, 129-135.",CCCn1c(C)cc(C)[n+]1-c1ccccc1|CCCn1c(C)cc(C)[n+]1-c1ccccc1.CS(=O)(=O)[O-],525.7390000000003,4.744680000000005,74.82,0,3,6,4,37,0.3793103448275862,4
CCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,299.0,K,"Noda, A.; Hayamizu, K.; Watanabe, M. (2001) J. Phys. Chem. B 105, 4603-4610.",CCCC[n+]1ccccc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,416.365,2.8335000000000017,86.25999999999999,0,4,5,1,25,0.5454545454545454,1
